Sub,Effect,Trial,A1,A2,B1,B2,C1,C2,resp,response,RT
14,Com3,217,5.5,5.5,4.6,6.4,3.4,7.6,3,1,2.623
14,Com1,218,7.6,3.3,6.5,4.4,5.6,5.3,1,3,5.363
14,Com2,219,6.6,4.6,5.7,5.5,4.7,6.5,2,2,2.062
14,Com3,221,5.1,5.4,4.0,6.5,3.1,7.4,2,1,3.282
14,Com2,222,6.2,4.9,5.3,5.8,4.2,6.9,2,2,3.695
14,Com1,225,7.5,3.6,6.4,4.7,5.5,5.6,2,3,1.567
14,Com2,227,6.5,4.4,5.5,5.4,4.4,6.5,1,2,2.594
14,Com1,228,7.5,3.4,6.4,4.5,5.4,5.5,2,3,2.302
14,Com1,230,7.6,3.5,6.5,4.6,5.5,5.6,3,3,2.015
14,Com2,232,6.5,4.4,5.6,5.3,4.7,6.2,2,2,2.466
14,Com3,233,5.6,5.2,4.5,6.3,3.5,7.3,1,1,3.263
14,Com1,236,7.5,3.6,6.6,4.5,5.5,5.6,3,3,3.473
14,Com2,237,6.7,4.4,5.6,5.5,4.5,6.6,3,2,5.215
14,Com1,238,7.6,3.4,6.6,4.4,5.6,5.4,2,3,1.726
14,Com2,239,6.2,4.3,5.1,5.4,4.0,6.5,3,2,2.511
14,Com1,240,7.6,3.5,6.5,4.6,5.6,5.5,3,3,1.49
15,Com2,2,6.4,4.7,5.5,5.6,4.6,6.5,2,2,25.684
15,Com1,3,7.2,3.7,6.2,4.7,5.3,5.6,3,3,11.009
15,Com3,4,5.1,5.4,4.0,6.5,3.1,7.4,1,1,24.868
15,Com1,5,7.5,3.5,6.6,4.4,5.5,5.5,1,3,12.242
15,Com2,6,6.4,4.3,5.3,5.4,4.4,6.3,3,2,27.185
15,Com3,7,5.5,5.6,4.5,6.6,3.5,7.6,2,3,25.249
15,Com2,9,6.5,4.5,5.4,5.6,4.5,6.5,3,2,8.002
15,Com2,11,6.5,4.5,5.4,5.6,4.3,6.7,1,2,12.753
15,Com3,14,5.6,5.5,4.5,6.6,3.5,7.6,2,1,5.363
15,Com1,15,7.8,3.7,6.6,4.9,5.7,5.8,2,1,6.593
15,Com3,18,5.3,5.8,4.2,6.9,3.4,7.7,2,3,15.411
15,Com3,21,5.5,5.6,4.5,6.6,3.5,7.6,1,1,6.274
15,Com1,26,7.6,3.5,6.7,4.4,5.6,5.5,3,3,6.254
15,Com1,30,7.6,3.2,6.6,4.2,5.6,5.2,3,3,24.413
15,Com2,34,6.4,4.7,5.5,5.6,4.5,6.6,1,2,12.895
15,Com3,36,5.5,5.6,4.5,6.6,3.5,7.6,1,1,21.408
15,Com1,39,7.6,3.5,6.5,4.6,5.5,5.6,1,3,13.89
15,Com2,41,6.2,4.3,5.1,5.4,4.0,6.5,2,2,11.263
15,Com1,43,7.3,3.5,6.4,4.4,5.4,5.4,1,3,12.24
15,Com3,44,5.3,5.6,4.2,6.7,3.4,7.5,1,3,5.293
15,Com1,45,7.4,3.8,6.6,4.6,5.5,5.7,3,3,4.928
15,Com1,47,7.3,3.5,6.3,4.5,5.4,5.4,1,3,10.898
15,Com3,50,5.4,5.4,4.5,6.3,3.3,7.5,1,1,3.951
15,Com3,51,5.7,5.8,4.6,6.9,3.6,7.9,1,2,10.206
15,Com3,52,5.7,5.5,4.7,6.5,3.8,7.4,3,1,8.353
15,Com1,55,7.6,3.3,6.5,4.4,5.6,5.3,3,3,18.832
15,Com1,57,7.4,3.6,6.6,4.4,5.5,5.5,3,2,3.617
15,Com1,60,7.5,3.3,6.4,4.4,5.4,5.4,1,3,4.079
15,Com2,62,6.6,4.4,5.5,5.5,4.6,6.4,1,3,12.807
15,Com1,64,7.5,3.4,6.4,4.5,5.4,5.5,3,3,5.439
15,Com3,66,5.5,5.6,4.6,6.5,3.6,7.5,3,1,5.181
15,Com2,67,6.5,4.4,5.5,5.4,4.4,6.5,2,2,3.441
15,Com3,68,5.6,5.5,4.7,6.4,3.5,7.6,2,1,3.935
15,Com3,69,5.4,5.4,4.4,6.4,3.5,7.3,1,2,3.202
15,Com3,71,5.4,5.4,4.4,6.4,3.3,7.5,2,1,3.746
15,Com2,72,6.5,4.5,5.5,5.5,4.5,6.5,3,2,7.617
15,Com3,74,5.4,5.5,4.4,6.5,3.4,7.5,3,1,2.544
15,Com1,76,7.5,3.5,6.5,4.5,5.4,5.6,2,3,3.504
