Sub,Effect,Trial,A1,A2,B1,B2,C1,C2,resp,response,RT
2,SimA1,52,2.7,4.4,3.6,3.5,2.5,4.6,3,2,4.001
2,Com1,53,7.1,3.9,5.2,5.8,4.1,6.9,3,2,11.055
2,Com1,54,7.4,3.6,5.3,5.7,4.3,6.7,2,2,18.272
2,Com1,55,7.3,3.7,5.3,5.7,4.2,6.8,3,2,24.257
2,SimB2,55,4.5,2.5,3.5,3.5,3.3,3.7,2,2,5.137
2,Com1,56,7.4,3.7,5.3,5.8,4.2,6.9,3,2,11.553
2,AttR2,56,2.6,4.6,4.8,2.4,4.8,1.7,2,1,18.35
2,SimA1,56,2.4,4.6,3.4,3.6,2.2,4.8,1,2,19.743
2,Com2,57,5.4,5.6,4.4,6.6,3.5,7.5,2,1,19.568
2,SimB1,57,4.3,2.5,3.4,3.4,4.4,2.4,1,2,7.455
2,Com2,58,5.3,5.8,4.4,6.7,3.2,7.9,2,2,19.73
2,SimA1,58,2.5,4.3,3.4,3.4,2.4,4.4,1,2,6.434
2,Com1,59,7.3,3.9,5.4,5.8,4.5,6.7,1,2,13.741
2,AttR1,60,2.0,4.6,4.3,2.3,1.4,4.6,2,2,11.6
2,AttR2,61,2.4,4.4,4.7,2.1,4.7,1.3,2,1,8.563
2,AttR2,62,2.2,4.8,4.5,2.5,4.5,1.9,3,2,14.462
2,SimA2,62,2.6,4.4,3.5,3.5,3.7,3.3,2,2,7.906
2,Com1,63,7.3,3.6,5.3,5.6,4.4,6.5,1,2,24.591
2,AttR2,63,2.3,4.8,4.5,2.6,4.5,1.9,1,2,5.442
2,SimA2,63,2.4,4.6,3.5,3.5,3.7,3.3,1,2,2.83
2,Com1,64,7.4,3.7,5.3,5.8,4.3,6.8,2,2,5.489
2,AttR2,64,2.0,4.6,4.3,2.3,4.3,1.6,1,2,7.645
2,SimB2,64,4.4,2.7,3.5,3.6,3.4,3.7,1,2,14.656
2,Com1,65,7.3,3.6,5.3,5.6,4.2,6.7,1,2,15.007
2,SimA1,65,2.6,4.4,3.5,3.5,2.5,4.5,3,2,5.938
2,Com2,66,5.3,5.8,4.2,6.9,3.3,7.8,2,1,9.455
2,AttR2,67,2.5,4.5,4.6,2.4,4.6,1.8,2,1,16.225
2,SimA1,67,2.4,4.6,3.5,3.5,2.2,4.8,1,2,3.969
2,SimB1,68,4.5,2.6,3.6,3.5,4.6,2.5,3,2,8.112
2,Com2,69,5.3,5.6,4.2,6.7,3.4,7.5,1,2,21.009
2,AttR1,69,2.2,4.6,4.4,2.4,1.4,4.6,3,2,4.899
2,Com1,70,7.3,3.8,5.3,5.8,4.3,6.8,3,2,6.605
2,SimA2,72,2.7,4.5,3.6,3.6,3.8,3.4,2,2,6.958
2,Com1,73,7.4,3.6,5.4,5.6,4.4,6.6,3,2,8.753
2,AttR2,73,1.9,4.9,4.8,2.0,4.8,1.4,1,2,11.969
2,SimA1,74,2.7,4.5,3.6,3.6,2.5,4.7,2,2,6.241
2,AttR1,75,1.9,4.9,4.8,2.0,1.2,4.9,2,2,7.553
2,AttR2,76,2.5,4.6,4.4,2.7,4.4,2.1,1,2,12.961
2,AttR1,77,2.6,4.6,4.8,2.4,1.9,4.6,1,1,7.645
2,SimB1,77,4.6,2.7,3.6,3.7,4.7,2.6,1,2,6.449
2,Com2,78,5.2,5.6,4.3,6.5,3.1,7.7,3,2,9.646
2,Com1,79,7.3,3.5,5.2,5.6,4.3,6.5,2,2,5.232
2,Com1,80,7.3,3.5,5.2,5.6,4.1,6.7,2,2,6.991
6,AttR1,1,2.6,4.6,4.8,2.4,1.9,4.6,2,2,63.798
6,AttR1,2,2.5,4.4,4.5,2.4,1.8,4.4,3,2,43.797
6,Com1,2,7.4,3.8,5.4,5.8,4.3,6.9,2,2,14.641
6,SimB2,2,4.6,2.7,3.6,3.7,3.5,3.8,3,2,6.21
6,AttR2,3,2.2,4.8,4.5,2.5,4.5,1.9,3,1,52.4
6,Com2,4,5.3,5.8,4.4,6.7,3.2,7.9,1,1,8.094
6,AttR1,5,2.2,4.8,4.5,2.5,1.6,4.8,3,2,19.651
6,SimA1,6,2.7,4.5,3.6,3.6,2.5,4.7,1,1,6.355
6,Com2,7,5.4,5.6,4.5,6.5,3.4,7.6,1,1,6.131
6,AttR2,8,2.3,4.6,4.4,2.5,4.4,1.8,3,2,24.068
6,AttR1,9,2.2,4.8,4.5,2.5,1.5,4.8,1,2,15.265
6,Com1,9,7.2,3.9,5.3,5.8,4.4,6.7,2,2,7.47
6,AttR2,10,2.6,4.6,4.8,2.4,4.8,1.8,1,1,24.611
6,Com1,10,7.3,3.6,5.2,5.7,4.1,6.8,1,2,7.39
6,SimA2,10,2.6,4.4,3.5,3.5,3.7,3.3,1,2,6.511
6,Com2,11,5.3,5.7,4.3,6.7,3.3,7.7,2,2,27.648
6,SimA2,11,2.7,4.5,3.6,3.6,3.8,3.4,2,2,34.672
6,AttR1,12,2.6,4.6,4.8,2.4,1.9,4.6,1,1,10.755
6,Com2,12,5.4,5.8,4.3,6.9,3.5,7.7,1,1,8.387
6,AttR2,13,2.5,4.4,4.5,2.4,4.5,1.6,1,1,15.763
6,SimB1,13,4.6,2.6,3.6,3.6,4.8,2.4,1,1,3.742
6,AttR1,14,2.0,4.6,4.3,2.3,1.4,4.6,1,1,26.178
6,AttR2,15,2.5,4.5,4.7,2.3,4.7,1.6,3,1,22.661
