username,blkNum,trlNum,A1,A2,B1,B2,C1,C2,Effect,StimPosition,rawResp,response,RT
30891,1,2,3.9318256327243257,4.356708826689592,4.3694478524670215,3.919078059901823,4.31748811353631,3.8925955077620475,AttRF2,3,50,1,1.887
30891,1,3,3.970291913552122,4.430816798843313,4.406719247264253,3.994395305186007,3.970291913552122,4.31748811353631,AttF1,4,51,2,2.422
30891,1,4,3.9318256327243257,4.356708826689592,4.3694478524670215,3.919078059901823,4.3694478524670215,3.74606286764139,AttR2,1,49,1,1.538
30891,1,5,3.912023005428146,4.394449154672439,4.406719247264253,3.8997479745525334,4.406719247264253,3.746912485364546,AttR2,5,51,1,3.31
30891,1,9,3.912023005428146,4.394449154672439,4.406719247264253,3.8997479745525334,3.7612001156935624,4.394449154672439,AttR1,1,50,2,2.375
30891,1,10,4.007333185232471,4.406719247264253,4.418840607796598,3.995205394524242,4.007333185232471,4.30406509320417,AttF1,4,50,1,3.553
30891,1,11,4.007333185232471,4.406719247264253,4.418840607796598,3.995205394524242,3.828641396489095,4.406719247264253,AttR1,2,49,1,1.463
30891,1,12,3.912023005428146,4.394449154672439,4.406719247264253,3.8997479745525334,3.8237599363077543,4.330733340286331,AttRF1,4,51,2,1.375
30891,1,15,3.912023005428146,4.406719247264253,4.394449154672439,3.9242874882481282,3.7612001156935624,4.406719247264253,AttR1,3,50,1,1.122
30891,1,17,3.9318256327243257,4.382026634673881,4.406719247264253,3.9071310593477184,4.406719247264253,3.707603068112039,AttR2,5,51,1,0.783
30891,1,18,3.8501476017100584,4.394449154672439,4.418840607796598,3.8257459042465864,3.8501476017100584,4.290459441148391,AttF1,3,50,1,2.186
30891,1,19,3.9889840465642745,4.406719247264253,4.382026634673881,4.013676659154646,4.31748811353631,3.8997479745525334,AttRF2,3,49,2,1.5
30891,1,21,3.9889840465642745,4.406719247264253,4.382026634673881,4.013676659154646,4.290459441148391,4.013676659154646,AttF2,4,50,1,1.539
30891,1,22,3.970291913552122,4.430816798843313,4.406719247264253,3.994395305186007,3.9696879576225452,4.382026634673881,AttRF1,5,50,3,1.058
30891,1,23,3.871201010907891,4.382026634673881,4.394449154672439,3.858769897122407,3.871201010907891,4.276666119016055,AttF1,4,51,2,2.617
30891,1,24,4.007333185232471,4.406719247264253,4.418840607796598,3.995205394524242,4.3694478524670215,3.9700654728220153,AttRF2,5,49,2,0.987
30891,1,26,3.9889840465642745,4.406719247264253,4.382026634673881,4.013676659154646,4.382026634673881,3.836221292011864,AttR2,6,51,1,1.026
30891,1,28,3.9318256327243257,4.382026634673881,4.406719247264253,3.9071310593477184,3.8311382766876823,4.330733340286331,AttRF1,3,50,1,1.839
30891,1,29,3.8501476017100584,4.394449154672439,4.418840607796598,3.8257459042465864,4.418840607796598,3.6073168419705697,AttR2,2,51,2,2.254
30891,1,30,3.8501476017100584,4.394449154672439,4.418840607796598,3.8257459042465864,4.31748811353631,3.8257459042465864,AttF2,4,50,1,1.287
30891,1,32,3.8918202981106265,4.382026634673881,4.394449154672439,3.879396502601052,4.290459441148391,3.879396502601052,AttF2,5,51,1,1.108
30891,1,33,3.912023005428146,4.394449154672439,4.406719247264253,3.8997479745525334,4.343805421853684,3.8613821297481667,AttRF2,3,50,1,1.386
30891,1,35,3.871201010907891,4.382026634673881,4.394449154672439,3.858769897122407,4.343805421853684,3.832979798087693,AttRF2,4,49,3,0.954
30891,1,36,3.9318256327243257,4.356708826689592,4.3694478524670215,3.919078059901823,3.9318256327243257,4.2626798770413155,AttF1,4,51,2,1.407
