Sub,Effect,Trial,A1,A2,B1,B2,C1,C2,response,choice,RT
2,SimB1,162,7.3,3.6,5.4,5.5,7.5,3.4,1,2,6.094
2,SimB2,166,7.6,3.6,5.6,5.6,5.4,5.8,2,2,3.597
2,SimB1,168,7.3,3.6,5.4,5.5,7.5,3.4,2,2,5.409
2,SimA2,169,3.6,7.3,5.5,5.4,5.7,5.2,3,1,7.725
2,SimA2,170,3.7,7.5,5.6,5.6,5.8,5.4,3,1,5.825
2,SimB2,173,7.4,3.5,5.4,5.5,5.2,5.7,2,1,5.458
2,SimA1,174,3.5,7.6,5.5,5.6,3.4,7.7,1,2,2.926
2,SimA1,175,3.7,7.5,5.6,5.6,3.6,7.6,3,3,3.792
2,SimA1,181,3.5,7.6,5.5,5.6,3.4,7.7,2,1,3.058
2,SimA2,183,3.4,7.6,5.5,5.5,5.6,5.4,2,2,3.375
2,SimA1,184,3.6,7.6,5.6,5.6,3.5,7.7,3,2,7.456
2,SimB2,185,7.6,3.4,5.6,5.4,5.4,5.6,2,1,3.135
2,SimB1,186,7.6,3.4,5.6,5.4,7.8,3.2,3,2,3.695
2,SimA2,188,3.4,7.5,5.4,5.5,5.6,5.3,3,1,3.712
2,SimB2,191,7.7,3.5,5.6,5.6,5.4,5.8,3,2,3.441
2,SimB1,192,7.4,3.6,5.4,5.6,7.5,3.5,1,2,4.398
2,SimB1,193,7.6,3.4,5.5,5.5,7.8,3.2,2,2,3.298
2,SimB2,198,7.6,3.4,5.5,5.5,5.4,5.6,3,1,2.224
2,SimA1,200,3.5,7.7,5.6,5.6,3.4,7.8,2,2,4.382
2,SimA2,201,3.6,7.3,5.5,5.4,5.6,5.3,1,1,3.535
2,SimB1,202,7.6,3.4,5.5,5.5,7.8,3.2,2,2,4.238
2,SimB1,203,7.3,3.5,5.3,5.5,7.5,3.3,3,2,3.887
2,SimA2,204,3.5,7.7,5.6,5.6,5.8,5.4,2,3,3.294
2,SimB2,205,7.5,3.5,5.5,5.5,5.4,5.6,2,2,2.56
2,SimA2,212,3.6,7.3,5.5,5.4,5.6,5.3,3,2,3.439
2,SimA2,214,3.7,7.5,5.7,5.5,5.8,5.4,1,3,2.289
2,SimA1,215,3.3,7.5,5.3,5.5,3.1,7.7,2,2,2.21
2,SimB2,216,7.5,3.4,5.5,5.4,5.3,5.6,2,1,3.631
2,SimA1,219,3.5,7.5,5.4,5.6,3.3,7.7,1,2,1.569
2,SimB1,220,7.7,3.5,5.6,5.6,7.8,3.4,3,2,2.815
2,SimB2,221,7.6,3.5,5.5,5.6,5.3,5.8,3,1,2.733
2,SimA2,222,3.7,7.3,5.6,5.4,5.8,5.2,2,1,4.722
2,SimA2,224,3.5,7.5,5.4,5.6,5.5,5.5,2,1,4.019
2,SimA2,225,3.5,7.5,5.5,5.5,5.6,5.4,1,2,1.568
