username,blkNum,trlNum,A1,A2,B1,B2,C1,C2,Effect,StimType,StimPosition,rawResp,response,RT
441,1,1,4.553876891600541,3.633710236980312,4.394449154672439,3.79312685048429,4.127134385045092,4.060443010546419,Com1,R,4,49,3,5.436
441,1,2,4.394449154672439,3.7917293207283853,4.143134726391533,4.04305126783455,3.720281217253468,4.465908118654584,Com2,R,1,50,2,2.707
441,1,8,4.553876891600541,3.6180008772301666,4.343805421853684,3.8280760193022254,4.0943445622221,4.07753744390572,Com1,R,3,49,2,2.653
441,1,9,4.553876891600541,3.616308761279101,4.394449154672439,3.775744987135518,4.127134385045092,4.04305126783455,Com1,R,2,50,3,2.411
441,1,11,4.564348191467836,3.656330435628587,4.406719247264253,3.8139470042638015,4.143134726391533,4.07753744390572,Com1,R,4,49,3,1.334
441,1,13,4.382026634673881,3.806373559144997,4.110873864173311,4.07753744390572,3.711081162097623,4.477336814478207,Com2,R,3,49,2,2.249
441,1,14,4.394449154672439,3.79312685048429,4.127134385045092,4.060443010546419,3.6989287899669376,4.48863636973214,Com2,R,4,50,1,2.665
441,1,15,4.574710978503383,3.595474957341697,4.382026634673881,3.78815901820576,4.127134385045092,4.04305126783455,Com1,R,3,50,1,1.77
441,1,20,4.543294782270004,3.6280141783426614,4.3694478524670215,3.8018732619271587,4.110873864173311,4.060443010546419,Com1,R,2,49,1,2.075
441,1,21,4.3694478524670215,3.8018732619271587,4.110873864173311,4.060443010546419,3.682685309950609,4.48863636973214,Com2,R,2,51,2,5.989
441,1,23,4.382026634673881,3.8055507609176296,4.127134385045092,4.060443010546419,3.7216612123882795,4.465908118654584,Com2,R,2,49,1,3.464
441,1,26,4.382026634673881,3.78815901820576,4.127134385045092,4.04305126783455,3.6928465746750474,4.477336814478207,Com2,R,1,49,1,2.229
441,1,27,4.584967478670572,3.6186179210732696,4.382026634673881,3.8215511022640705,4.143134726391533,4.060443010546419,Com1,R,3,49,2,1.72
441,1,28,4.3694478524670215,3.8018732619271587,4.110873864173311,4.060443010546419,3.6939913660001125,4.477336814478207,Com2,R,2,50,3,2.126
441,1,31,4.356708826689592,3.8317019256793654,4.110873864173311,4.07753744390572,3.6886044162945026,4.499809670330265,Com2,R,6,51,1,2.165
441,1,34,4.574710978503383,3.595474957341697,4.382026634673881,3.78815901820576,4.127134385045092,4.04305126783455,Com1,R,2,51,2,2.02
441,1,35,4.564348191467836,3.571867995715248,4.3694478524670215,3.766789119238094,4.110873864173311,4.02535169073515,Com1,R,4,49,3,1.324
441,1,36,4.3694478524670215,3.766789119238094,4.110873864173311,4.02535169073515,3.670308068528501,4.465908118654584,Com2,R,3,50,1,1.506
441,1,38,4.574710978503383,3.6114853192062384,4.394449154672439,3.7917293207283853,4.143134726391533,4.04305126783455,Com1,R,5,51,1,1.756
441,1,39,4.406719247264253,3.7968590370189244,4.143134726391533,4.060443010546419,3.714936988433226,4.48863636973214,Com2,R,2,50,3,2.13
441,1,40,4.564348191467836,3.623220305307662,4.394449154672439,3.79312685048429,4.127134385045092,4.060443010546419,Com1,R,3,49,2,1.416
441,1,41,4.406719247264253,3.8139470042638015,4.143134726391533,4.07753744390572,3.720862499966987,4.499809670330265,Com2,R,2,49,1,2.155
441,1,42,4.574710978503383,3.61286196769002,4.382026634673881,3.8055507609176296,4.127134385045092,4.060443010546419,Com1,R,1,50,2,0.976
441,1,45,4.394449154672439,3.775744987135518,4.127134385045092,4.04305126783455,3.6928465746750474,4.477336814478207,Com2,R,5,49,2,3.114
441,1,46,4.382026634673881,3.78815901820576,4.127134385045092,4.04305126783455,3.704285174263785,4.465908118654584,Com2,R,6,50,2,1.047
441,1,47,4.564348191467836,3.621831119360808,4.382026634673881,3.804170498448671,4.143134726391533,4.04305126783455,Com1,R,2,51,2,1.399
441,1,48,4.406719247264253,3.8139470042638015,4.143134726391533,4.07753744390572,3.7433439648753426,4.477336814478207,Com2,R,6,49,3,1.498
441,1,50,4.564348191467836,3.58958384301836,4.382026634673881,3.7718869930975445,4.110873864173311,4.04305126783455,Com1,R,6,49,3,2.147
441,1,53,4.564348191467836,3.6240742307478206,4.382026634673881,3.806373559144997,4.110873864173311,4.07753744390572,Com1,R,4,49,3,2.207
441,1,55,4.564348191467836,3.606964160912669,4.3694478524670215,3.8018732619271587,4.110873864173311,4.060443010546419,Com1,R,4,51,2,1.327
441,1,61,4.382026634673881,3.8215511022640705,4.143134726391533,4.060443010546419,3.7376696182833684,4.465908118654584,Com2,R,2,51,2,1.147
441,1,62,4.382026634673881,3.8394523125933104,4.127134385045092,4.0943445622221,3.710616483756723,4.51085950651685,Com2,R,3,49,2,0.889
441,1,63,4.394449154672439,3.79312685048429,4.127134385045092,4.060443010546419,3.7216612123882795,4.465908118654584,Com2,R,4,51,2,1.665
441,1,65,4.574710978503383,3.6459719531026598,4.406719247264253,3.8139470042638015,4.143134726391533,4.07753744390572,Com1,R,3,51,3,4.378
441,1,67,4.543294782270004,3.64511041298123,4.356708826689592,3.8317019256793654,4.110873864173311,4.07753744390572,Com1,R,1,51,3,1.177
441,1,68,4.382026634673881,3.7718869930975445,4.110873864173311,4.04305126783455,3.6995720836526793,4.454347296253507,Com2,R,6,49,3,1.811
441,1,72,4.564348191467836,3.639242681672834,4.406719247264253,3.7968590370189244,4.143134726391533,4.060443010546419,Com1,R,2,50,3,1.593
441,1,75,4.382026634673881,3.804170498448671,4.143134726391533,4.04305126783455,3.720281217253468,4.465908118654584,Com2,R,3,50,1,4.553
